participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.development,session.config.name,session.config.participation_fee,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.gender,welfare.1.player.ethnic,welfare.1.player.age,welfare.1.player.education,welfare.1.player.marital,welfare.1.player.income,welfare.1.player.percentProlific,welfare.1.player.state,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.gender,welfare.2.player.ethnic,welfare.2.player.age,welfare.2.player.education,welfare.2.player.marital,welfare.2.player.income,welfare.2.player.percentProlific,welfare.2.player.state,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
1,lvo1en1k,600b867e297f072364af7a99,0,35,36,welfare,End,2023-07-27 14:15:21.793072,1,,,0.0,,true,false,1,1,1690467323.9720807,,doale3ve,,,,,0,1.0,0,welfare,3.0,,1,,0.0,1,3,1,2,1,,1,,1,NA,"{""history"":[],""cutoff"":""left:5""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690467611.3602486,1690467696.4963508,1690467752.8182676,1690467843.0949605,1690467890.6726432,1690467925.8539708,,1,1,1,,0.0,,,,,,,,,,,,,,1,"Simulated reality like described has sort of been kind of an interest of mine ever since I saw The Matrix or Ready Player one. It honestly sounds really cool, and lets me live out my fantasies. I just want to do things that I would not otherwise be able to do. That appeals to me on some level. ",0,"I think John should at least know or be told. I mean at least with actual real-life taxes we sort of know where our money goes. But placing a specific levy on specific people sounds dirty, and people effected should be told. ",0,Being a victim of fraud like this is pretty low and awful. I don't wish it on anyone. ,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690467982.86971,1,2
2,gnmb6nwk,6138c06bd7d7f2b7720e7a27,0,36,36,welfare,Finished,2023-07-27 14:16:29.180203,1,,,0.0,1,,,0,1,1690467390.65997,1690467818.3112245,doale3ve,,,,,0,1.0,0,welfare,3.0,,2,,0.0,1,2,1,2,1,1,2,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,1,2,0,1,1,1,0,0,1690467476.7392428,1690467509.0081298,1690467523.6102436,,,1690467533.4260936,,1,1,2,,0.0,,,,,,,,,,,,,,1,I think yes. It makes me more experienced.,1,I think its right.,1,I think its more better.,,,,,,,,,,,,,,No comments.,9,7,7,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690467541.6659818,1,2
3,00uradf1,614ee4370d85f20de1b9548f,0,35,36,welfare,End,2023-07-27 14:21:19.476020,1,,,0.0,,,,1,1,1690467683.1200929,,doale3ve,,,,,0,1.0,0,welfare,3.0,,3,,0.0,1,2,3,2,1,2,,2,,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,1690468135.1393304,1690468172.8729644,1690468186.8227627,,,1690468199.7361555,,1,1,3,,0.0,,,,,,,,,,,,,,1,Yes I will go. Cause it makes me experienced.,0,I think Yes.,1,Yes this person more than better.,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690468222.0089216,1,2
4,opezqny5,6266a888ce0c626836c91bc6,0,1,36,welfare,Welcome,2023-07-27 14:26:49.856622,1,,,0.0,,,,0,,1690468062.166674,,doale3ve,,,,,0,1.0,0,welfare,3.0,,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
5,8q9dl7b6,636694f5d3b82c1a8279cf72,0,2,36,welfare,Consent,2023-07-27 14:31:42.244011,1,,,0.0,,,,1,,1690468308.5694642,,doale3ve,,,,,0,1.0,0,welfare,3.0,,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
6,mfdgepju,5d4b14caed2dfc0001a22c1a,0,4,36,welfare,EconomicsFan,2023-07-27 14:31:51.559406,1,,,0.0,,,,0,,1690468337.4051287,,doale3ve,,,,,0,1.0,0,welfare,3.0,,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,6,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
7,gclbvz1f,5f5d25e5b17ec4562931508f,0,1,36,welfare,Welcome,2023-07-27 14:33:47.748851,1,,,0.0,,,,1,,1690468512.4785097,,doale3ve,,,,,0,1.0,0,welfare,3.0,,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,7,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
8,rylxhtlo,5de83f3b3aa615000a41f831,0,36,36,welfare,Finished,2023-07-27 14:34:33.272944,1,,,0.0,1,true,true,0,1,1690468710.6682453,1690470816.0433009,doale3ve,,,,,0,1.0,0,welfare,3.0,,8,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:7""}","{""history"":[],""cutoff"":""left:7""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690469802.0413084,1690469942.1135964,1690469986.783927,1690470025.573064,1690470087.8931375,1690470109.4676673,,1,1,8,,0.0,,,,,,,,,,,,,,0,"Although I would like to plug into the experience machine, I am concerned about the length of long the experience and the consequences of plugging into the machine. So, I would not choose the simulation.",0,John is worse off because he lost $100.,0,The person who got the original drawing will never be able to prove that his drawing is more valuable than the others.,,,,,,,,,,,,,,I do not wish to add a comment.,2,7,5,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690470119.843079,1,2
9,zk1paahe,5e59feea5bb31220840c12c6,0,0,36,,,,1,,,0.0,,,,1,,,,doale3ve,,,,,0,1.0,0,welfare,3.0,,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
10,1r7hio2r,5bcded8f2d94a8000133e068,0,0,36,,,,1,,,0.0,,,,0,,,,doale3ve,,,,,0,1.0,0,welfare,3.0,,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,10,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
11,61x78cto,5df0524c1217a00b60a0328d,0,1,36,welfare,Welcome,2023-07-27 14:38:17.823008,1,,,0.0,,,,1,,1690468941.545461,,doale3ve,,,,,0,1.0,0,welfare,3.0,,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
12,6d81afgg,5de53996227eed0b8dd9c44d,0,0,36,,,,1,,,0.0,,,,0,,,,doale3ve,,,,,0,1.0,0,welfare,3.0,,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
13,ji98leq9,5f3ac1732efa0a74f975b1a8,0,36,36,welfare,Finished,2023-07-27 14:45:26.052548,1,,,0.0,1,true,true,1,1,1690469399.2190454,1690470201.2838175,doale3ve,,,,,0,1.0,0,welfare,3.0,,13,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:6""}","{""history"":[],""cutoff"":""right:5""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690469592.5436645,1690469695.566034,1690469738.0626938,1690469778.8625524,1690469805.2724965,1690469815.6732256,,1,1,13,,0.0,,,,,,,,,,,,,,1,"I like taking risks, trying new things, Plus you never know what would happen in the reality world since anything can happen.",1,I feel like he would help out anyway if he actually new about the flood. He could help with more money then just 100.,0,"No, they are not better off since they probably think they got the knock off. ",,,,,,,,,,,,,,Everything was easy to understand.,10,10,9,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690469820.419956,1,2
14,ingmrzml,640c92a322b87202716ce6a6,0,0,36,,,,1,,,0.0,,,,0,,,,doale3ve,,,,,0,1.0,0,welfare,3.0,,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
15,ymogchfj,63f7dbad83d8165189efff4e,0,0,36,,,,1,,,0.0,,,,1,,,,doale3ve,,,,,0,1.0,0,welfare,3.0,,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
16,jjq6xpkz,614f7e19d4577addcf8739d4,0,0,36,,,,1,,,0.0,,,,0,,,,doale3ve,,,,,0,1.0,0,welfare,3.0,,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
17,9r4huom5,6143abecd2f51fa8dfe7f3c3,0,36,36,welfare,Finished,2023-07-27 14:50:03.716980,1,,,0.0,1,true,true,1,1,1690469403.8045866,1690470299.5106776,doale3ve,,,,,0,1.0,0,welfare,3.0,,17,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:6""}","{""history"":[],""cutoff"":""left:7""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690469634.7375596,1690469718.8509994,1690469763.3871882,1690469814.487543,1690469881.8652868,1690469902.0702367,,1,1,17,,0.0,,,,,,,,,,,,,,1,I could use it to learn or try new things that I wouldn't normally be able to.,0,"Because he's having to pay more taxes, but doesn't know that it's going towards a relief effort.",0,Because they don't know that it's the original and there's no way to tell if it is.,,,,,,,,,,,,,,N/A,10,10,10,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690469907.9440935,1,2
18,reqvaoqb,62d5788341a681924672a1ca,0,36,36,welfare,Finished,2023-07-27 14:51:36.800601,1,,,0.0,1,true,false,0,1,1690469496.841563,1690469924.013607,doale3ve,,,,,0,1.0,0,welfare,3.0,,18,,0.0,1,3,1,2,1,,1,,1,NA,"{""history"":[""left:0"",""left:1"",""left:1"",""left:2"",""left:3"",""left:4"",""left:5""],""cutoff"":""left:6""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,1690469625.0387568,1690469678.2443042,1690469698.7659225,1690469712.324334,1690469728.6914787,1690469735.0652318,,1,1,18,,0.0,,,,,,,,,,,,,,1,As long as I could come out of it at some point I would go in. It would give me an opportunity to experience things I may never otherwise get a chance to experience.,1,Mentally he is worse off because he does not know where his money is going. ,1,"In theory it is worth more, and could be appraised as such by an art appraiser. However if telling the difference is impossible, they are neither worse or better off.",,,,,,,,,,,,,,Interesting study and more fun than most on Prolific.,10,10,10,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690469739.380523,1,2
19,w627rx37,60a55d4bb6bd9be6c95b89eb,0,36,36,welfare,Finished,2023-07-27 14:51:41.354863,1,,,0.0,1,true,true,1,1,1690469501.4659712,1690471845.088094,doale3ve,,,,,0,1.0,0,welfare,3.0,,19,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:8""}","{""history"":[""right:8""],""cutoff"":""left:8""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1690471648.5051162,1690471678.0642326,1690471695.474612,1690471704.7073653,1690471723.3388572,1690471729.5348058,,1,1,19,,0.0,,,,,,,,,,,,,,1,"Assuming this is only for a set period of time, then sure I would try it once to see what it's like.",0,Well in general it makes John worse off because he is simply out $100 from his perspective.,0,"Overall, I'd say no because they have no way to tell for sure. If they knew, they would be better off. ",,,,,,,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690471731.6486626,1,2
20,d2pyevaa,63d7c7cc6818efd3fd8dfc80,0,36,36,welfare,Finished,2023-07-27 14:52:25.712219,1,,,0.0,1,true,true,0,1,1690469545.9355032,1690470621.3200347,doale3ve,,,,,0,1.0,0,welfare,3.0,,20,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[""right:8"",""left:4"",""right:4"",""right:3"",""right:2"",""right:1""],""cutoff"":""right:0""}","{""history"":[],""cutoff"":""right:0""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,1690469954.7934847,1690470058.1599462,1690470071.8670826,1690470101.2770472,1690470162.447289,1690470175.502966,,1,1,20,,0.0,,,,,,,,,,,,,,0,I wouldn't want to ever not know what was happening to me wasn't real.,1,If it's helping others than it's always a good thing.,1,Yes because it has more meaning and worth.,,,,,,,,,,,,,,There was no confusion at all. ,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690470185.3105698,1,2
21,jgxlqkm7,63d1a20c4420edd8194b69d4,0,36,36,welfare,Finished,2023-07-27 14:53:19.643080,1,,,0.0,1,,,1,1,1690469600.5278492,1690470199.8131561,doale3ve,,,,,0,1.0,0,welfare,3.0,,21,,0.0,1,1,1,2,1,2,2,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690469876.6237288,1690469919.3868794,1690469939.5510538,,,1690469956.3795376,,1,1,21,,0.0,,,,,,,,,,,,,,1,I would like to enjoy any experience that I desire even if it is simulated.,0,It's worse because he has to contribute $100 but never learns about the flooding or relief effort.,0,No because they don't know their painting is actually worth $20k so they won't be able to sell it for the best price.,,,,,,,,,,,,,,Good study,10,10,10,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690469959.4245653,1,2
22,x7blfixd,601636f7e8edb47a4e205797,0,6,36,welfare,CQ,2023-07-27 14:53:28.828794,1,,,0.0,,,,0,,1690469610.189523,,doale3ve,,,,,0,1.0,0,welfare,3.0,,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
