participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.gender,welfare.1.player.ethnic,welfare.1.player.age,welfare.1.player.education,welfare.1.player.marital,welfare.1.player.income,welfare.1.player.percentProlific,welfare.1.player.state,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.gender,welfare.2.player.ethnic,welfare.2.player.age,welfare.2.player.education,welfare.2.player.marital,welfare.2.player.income,welfare.2.player.percentProlific,welfare.2.player.state,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
1,acyk7l99,5a9f566d777df2000160326c,0,36,36,welfare,Finished,2023-07-28 13:51:15.510028,1,,,0.0,1,true,false,1,2,1690552275.6271122,1690552867.7186897,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,1,,0.0,2,1,1,2,1,2,1,2,1,NA,"{""history"":[""left:0"",""left:1"",""left:2"",""left:3"",""left:4"",""left:5"",""left:6"",""left:7"",""left:8"",""left:9"",""left:9"",""left:10""],""cutoff"":""left:11""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690552493.3086953,1690552523.3272378,1690552579.2807705,1690552586.2730129,1690552612.0273201,1690552632.444752,,1,1,1,,0.0,,2,1,2,1,1,1,2,1,NA,"{""history"":[""left:0"",""left:1"",""left:2"",""left:3"",""left:4"",""left:5"",""left:6"",""left:7"",""left:8"",""left:9"",""left:10""],""cutoff"":""left:11""}",,1,1,I would go in to have a new experience.,0,He would be upset.,1,They have the one that is worth money.,,,,,,,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,1690552651.1277072,1690552670.2228148,1690552698.9583466,1690552715.7210968,,1690552717.2374277,1,2
2,66t1tepf,60528727a8bd70153578f03a,0,36,36,welfare,Finished,2023-07-28 13:57:14.147302,1,,,0.0,1,true,false,0,1,1690552634.338625,1690553094.8423352,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,2,,0.0,1,2,1,2,1,1,1,2,1,NA,"{""history"":[""left:0"",""left:1"",""left:2"",""left:3"",""left:4""],""cutoff"":""left:5""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690552773.8180788,1690552816.216133,1690552844.629674,1690552857.8577735,1690552887.7044978,1690552900.6750882,,1,1,2,,0.0,,,,,,,,,,,,,,1,I would like to try it for the simple reason that I have never experieced anything like it before. I would like to to try it atleast once in life.,0,He is giving the govt 100 and who knows where that will actually trickle down to.,1,They are better off because if if they don't know it they were able to get a piece of art worth $20k for $250.,,,,,,,,,,,,,,,6,8,7,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690552904.3179743,1,2
3,4r5fg2kv,546f8a9cfdf99b4a593414ea,0,36,36,welfare,Finished,2023-07-28 14:03:21.455980,1,,,0.0,1,true,true,1,1,1690553001.561485,1690554063.3665864,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,3,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:9""}","{""history"":[],""cutoff"":""right:9""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690553730.3850737,1690553772.9686515,1690553794.1668198,1690553805.9023588,1690553837.9807577,1690553862.6844683,,1,1,3,,0.0,,,,,,,,,,,,,,0,I would rather live my life than fake it.,0,"He is out $100 and since we don't know where he lives, it possibly could not benefit him directly. ",1,The original is worth considerably more than the fakes. ,,,,,,,,,,,,,,,10,10,7,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690553865.6957917,1,2
4,f7ixm812,5eeba783164680119f2e30c7,0,32,36,welfare,Experience,2023-07-28 14:07:30.362786,1,,,0.0,,true,false,0,1,1690553251.0851257,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,4,,0.0,1,2,1,2,1,2,1,2,1,NA,"{""history"":[],""cutoff"":""right:5""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690553783.0789773,1690553961.197596,1690554061.5043905,1690554148.1557498,1690554244.0934,1690554330.4597845,,1,1,4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690554374.4930325,1,2
5,9sbyn90u,5aad9c53c4914b0001a39659,0,36,36,welfare,Finished,2023-07-28 14:10:08.837300,1,,,0.0,1,true,true,1,1,1690553409.1458309,1690555880.884951,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,5,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1690553842.4470406,1690553950.177883,1690553983.019178,1690554024.1438665,1690554303.40774,1690554387.5947258,,1,1,5,,0.0,,,,,,,,,,,,,,1,I may be in such an experience machine now and see no reason to avoid entering the machine again. I would be particularly desirous of entering the machine if at the finish I would know that it had been a simulation because it would be like living twice or living in two different worlds,1,Better of because whether he was conscious of it or not the tax payment was what he would have wanted,0,"Because this person has entered, along with every other person involved,into something like a commercial art performance where all items, original and copies,now share equally in value.",,,,,,,,,,,,,,,8,9,10,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690554671.4710646,1,2
6,qa80rjvi,608f2ebc23ba13416e9a7e57,0,35,36,welfare,End,2023-07-28 14:11:30.246505,1,,,0.0,,true,true,0,1,1690553490.3288825,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,6,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1,0,1690553660.9792838,1690553729.4027183,1690553755.9506977,1690553787.0032203,1690553832.1606524,1690553848.5733676,,1,1,6,,0.0,,,,,,,,,,,,,,0,Sounds a little too much total recall for me. Social media and online activities have already separated people a great deal. Real life experiences have more value to me. This would just be another way for people to be exploited and probably cause addiction issues. ,0,Because they don't give him the ability to make that choice for himself or tell him. John might have gone beyond donating and volunteered his time if he had been made aware of the situation. ,1,"Yes they are, but this is so wrong. That piece of art needs to be treated with respect to its history. If the person who bought a copy doesn't know what they have it can end up being inadvertently damaged or lost.",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690553855.2439334,1,2
7,zo5jqvyz,5f4d07b4fae27694de8f5af1,0,36,36,welfare,Finished,2023-07-28 14:11:36.421638,1,,,0.0,1,true,true,1,1,1690553605.3192918,1690554320.2577498,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,7,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:8""}","{""history"":[],""cutoff"":""right:9""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690553777.1578805,1690553830.102848,1690553864.1317358,1690553881.7660367,1690553920.8215268,1690553929.759093,,1,1,7,,0.0,,,,,,,,,,,,,,0,I want to truly experience things not only in my mind but in actuality.,0,"John does not know where his money is going when he pays taxes. If he knew, he would feel better.",1,"They may not know now how to determine the real ones, but in the future they may and this person will benefit from having a real one.",,,,,,,,,,,,,,This survey was very similar to ones I have taken in the past. It was very good.,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690553932.2780862,1,2
8,a9dlfwqm,63e2953c6c707d75ae5fcdd2,0,35,36,welfare,End,2023-07-28 14:12:47.623936,1,,,0.0,,true,false,0,1,1690553567.7993786,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,8,,0.0,1,3,1,2,1,,1,,1,NA,"{""history"":[""left:8"",""right:7""],""cutoff"":""right:8""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690553796.1442077,1690553879.53098,1690553925.2786145,1690553979.243669,1690554043.5261877,1690554080.0988169,,1,1,8,,0.0,,,,,,,,,,,,,,0,"Whatever desirable scenario I choose is going to be great while it's happening, but it's going to suck hard when the machine's unplugged. And that's reality. ",0,"He's worse off because he's out $100 for what he thinks is just another BS tax. If he knew the money was going to help homeless families, at least he could get a little satisfaction.",1,Hopefully someday technology will advance enough to where he does know he has an original Warhol.,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690554099.8484476,1,2
9,klmrg75i,5f0d0bb334aaaf7151fee628,0,36,36,welfare,Finished,2023-07-28 14:12:49.738962,1,,,0.0,1,true,true,1,1,1690553569.8466368,1690553949.1093268,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,9,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:9""}","{""history"":[],""cutoff"":""right:9""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690553669.573427,1690553697.9563274,1690553713.7227015,1690553730.0155356,1690553749.7874107,1690553759.7939029,,1,1,9,,0.0,,,,,,,,,,,,,,1,I could try out things in the machine I could not try in real life and understand if it's something I should pursue in real life. ,0,He does not know where the money goes and will resent the increase. He may also donate additional money if he learns about the flood thereby paying twice. ,1,The value of the original is higher than the fakes and the fakes will eventually be discovered. ,,,,,,,,,,,,,,,10,10,8,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690553762.8982804,1,2
10,ft43g6hz,63e57f5b078c526e4fb9d370,0,35,36,welfare,End,2023-07-28 14:14:49.366576,1,,,0.0,,true,true,0,2,1690553689.4612536,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,10,,0.0,2,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:6""}","{""history"":[],""cutoff"":""left:9""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690553811.3128142,1690553864.748615,1690553882.4844558,1690553918.449074,1690553953.5547407,1690553970.3648753,,1,1,10,,0.0,,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:6""}","{""history"":[],""cutoff"":""right:9""}",2,1,0,"Because simulated life isn't life. If you want to experience something, go do it. Don't rely on virtual reality. ",0,"If the tax increase isn't explained, then John will just become further upset. Also, once the government raises taxes once, the taxes tend to stay elevated. ",1,"If they are able to distinguish that it is an original, that would be worth significant money. Although, if the forgeries are so good, it may devalue the original",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,1690553990.8929114,1690553998.3346448,1690554001.8609366,1690554026.9278162,,1690554031.139316,1,2
11,g30tq26e,5d52aab4d01b31001941a7f1,0,10,36,welfare,Cases3Explain,2023-07-28 14:17:10.972315,1,,,0.0,,,,1,,1690553831.7919753,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,11,,0.0,,1,1,2,1,1,1,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690554200.7987278,1690554329.4261186,1690554382.2988198,,,,,1,1,11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
12,v90xpxqy,55cf5cc434e9060005e56c39,0,10,36,welfare,Cases3Explain,2023-07-28 14:17:43.728212,1,,,0.0,,,,0,,1690553863.8511162,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,12,,0.0,,1,1,2,1,1,1,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1690554237.5438948,1690554343.6728318,1690554470.0032334,,,,,1,1,12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
13,xjpglbxe,5ac43d51a3ba7a0001b498d0,0,36,36,welfare,Finished,2023-07-28 14:17:55.756156,1,,,0.0,1,,,1,1,1690553875.885009,1690554966.7904289,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,13,,0.0,1,3,3,2,1,,,,,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,1690554269.9653265,1690554336.9313915,,,,1690554491.1802046,,1,1,13,,0.0,,,,,,,,,,,,,,0,"No, because once I came out of it I would no longer have or be experiencing whatever it was I so desired that I had to use the sim because I couldn't have it in real waking life.",0,"It's money out of his pocket, he takes a loss, so worse off.",1,"They don't know it, but they have a valuable piece, and if they ever have it valued by a professional, theyw ould find it to be authentic and be aware of its real value.",,,,,,,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690554625.382676,1,2
14,mgskmyr4,5ec67c1f9d0f0906b783865f,0,6,36,welfare,CQ,2023-07-28 14:21:29.668903,1,,,0.0,,,,0,,1690554091.1134539,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
15,562iz65n,5a1980eb5d06850001b00d84,0,5,36,welfare,YourTask,2023-07-28 14:22:39.066814,1,,,0.0,,,,1,,1690554160.9805052,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
16,akwufhah,582afed4ce3a0e00010b3245,0,4,36,welfare,EconomicsFan,2023-07-28 14:22:49.963785,1,,,0.0,,,,0,,1690554175.0091462,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
17,h3aa1y6i,5c21923289f03500017369fd,0,4,36,welfare,EconomicsFan,2023-07-28 14:23:19.131786,1,,,0.0,,,,1,,1690554209.2416785,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,17,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
18,8b98usco,62dee5f2ad4598079383a5aa,0,2,36,welfare,Consent,2023-07-28 14:25:36.117579,1,,,0.0,,,,0,,1690554365.163903,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,18,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
19,nnr34dei,57b4abf0f0ed6e0001517979,0,0,36,,,,1,,,0.0,,,,1,,,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
20,8si7k3ly,5ead45a386fbbe3c8eebe510,0,36,36,welfare,Finished,2023-07-28 14:29:43.274286,1,,,0.0,1,,,0,1,1690554583.3824456,1690556574.8578188,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,20,,0.0,1,2,1,2,1,1,2,2,1,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,0,0,1690555646.7552743,1690555786.3789468,1690555826.939838,,,1690555999.852086,,1,1,20,,0.0,,,,,,,,,,,,,,0,I don't want that feeling of accomplishment or satisfaction unless its real or I earned It. It would be horrible when I am back in reality and lose that feeling the machine gave me it would be like waking up from a dream and losing everything.,0,He may eventually overtime need all the money he is losing on taxes to pay his bills.,1,Because If it somehow is distinguished that person can resell it for $20K.,,,,,,,,,,,,,,,9,9,7,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690556004.4117482,1,2
21,2af3sxrl,622e06e4046635b0eb64f103,0,1,36,welfare,Welcome,2023-07-28 14:29:05.963131,1,,,0.0,,,,1,,1690554609.1042862,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,21,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
22,r6050v39,6110afe5ca0fbaba210ee3d8,0,0,36,,,,1,,,0.0,,,,0,,,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
